"Sample Code","Culture Variable","Pre-acidification","Make Date","Milk Protein","Milk Fat","Milk P:F","Milk Acidity","Culture inoc rate","Initial Cheese pH","pH 90 days","Coagulation pH","Coagulation time (minutes)","Coagulation Factor","Whey removal pH","Mill pH","Inoc_PO Time","Inoc_Mill Time","Moisture%","Protein%","Fat%","FDB","MFFS","Salt%","S/M","Ca","%NPN/TN","%NCN/TN","Total FFA%","Glutamic Acid","Leucine","Lysine","Aliphatic/acidc ratio","Total FAA (mg/g)","Hand Firmness","Cohesiveness of Mass","Adhesiveness","Chewiness","Particle Size","Bitter","Acid","Salt","Sweet","Savory","Butter","Brothy","Sour","Sulfur","Rancid","Fruity","Whey Taint","Astringent","Others"
"02012023-0-1-BS","BS","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","7.4999999999999997E-3","5.25","5.2","6.67","23.236666666666668","1.6597525503900599","6.28","5.4","141","225","34.69","26.86","33.119999999999997","0.50711988975654565","0.51869019138755978","2.0699999999999998","5.9671375036033439E-2","8.0000000000000002E-3","7.7066269545793001E-2","0.13626209977661952","3.2000000000000002E-3","1.02","1.06","0.377","3.7881548974943051","5.1459999999999999","13.43","12.14","8.89","6.15","12.25","1.19","1.54","5.65","0.04","1.24","0.91","1.1000000000000001","1.19","1.2","0.3","0.12","0.56000000000000005","1.59","0.21"
"02012023-0-1-DVI","DVI","No","44957","3.62","4.3600000000000003","0.83027522935779818","13.6","2.2100000000000001E-4","5.0999999999999996","5.24","6.56","32.43333333333333","1.6604154166869367","6.36","5.49","131","230","34.96","26.76","33.57","0.51614391143911442","0.52626825229564955","1.68","4.8054919908466817E-2","8.2100000000000003E-3","8.1838565022421511E-2","0.16367713004484302","3.2000000000000002E-3","1.0900000000000001","1.03","0.441","3.915690866510539","5.2270000000000003","12.72","11.54","8.14","5.44","11.43","0.51","1.39","5.72","0.01","1.64","1","1.25","0.69","0.85","0.11","0.15","0.36","1.1499999999999999","0"
"02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","5.0999999999999996","5.15","6.46","18.503333333333334","1.6496165664567906","6.25","5.45","140","230","35.630000000000003","26.7","33.35","0.51809849308684164","0.53458364591147789","1.61","4.5186640471512766E-2","8.3499999999999998E-3","8.6516853932584278E-2","0.15168539325842698","2.3800000000000002E-2","1.34","1.27","0.438","4.5259740259740262","6.1689999999999987","12.77","11.71","9.01","6.34","12.09","1.1599999999999999","1.5","5.87","0","1.72","0.66","1.51","0.65","1.5","1.25","0.05","0.15","1.62","0.3"
"02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","5.07","5.1100000000000003","6.47","18.466666666666665","1.658224047444157","6.2","5.41","140","225","35.46","26.25","32.96","0.51069104431360401","0.52893794749403344","1.78","5.0197405527354765E-2","7.6299999999999996E-3","9.1047619047619058E-2","0.17714285714285716","2.4E-2","1.63","1.52","0.53900000000000003","5.3017751479289945","7.4509999999999996","12.15","1.75","8.9600000000000009","5.56","11.9","1.95","1.5","5.41","0","1.23","0.77","1.07","0.96","1.2","1.22","0","0.51","1.69","0.14000000000000001"
"02152023-0-2-BS","BS","No","44970","3.87","4.63","0.83585313174946008","17.2","8.9999999999999993E-3","5.05","5.18","6.52","28.066666666666666","1.6673331767836874","6.25","5.37","145","225","34.270000000000003","25.87","33.520000000000003","0.50996500836756442","0.51549338146811086","1.82","5.3107674350744087E-2","8.5699999999999995E-3","0.10630073444143795","0.14882102821801313","2.3999999999999998E-3","0.93700000000000006","0.92","0.38","6.460251046025105","4.3840000000000003","13.81","11.69","9.73","6.49","13.3","0.38","1.7","6.25","0.13","1.92","1.25","1.33","0.56000000000000005","0.67","0","0.38","1","2.35","0"
"02152023-0-2-DVI","DVI","No","44970","3.87","4.63","0.83585313174946008","17.2","3.1300000000000002E-4","5.18","5.18","6.6","33.36333333333333","1.6766774533374968","6.26","5.38","145","225","33.869999999999997","26.15","33.520000000000003","0.50688038711628614","0.5094765342960289","1.77","5.2258635961027464E-2","8.6999999999999994E-3","0.10363288718929255","0.14187380497131932","2.2000000000000001E-3","0.98799999999999999","0.95099999999999996","0.39100000000000001","3.9552941176470582","4.8379999999999992","13.51","10.92","7.66","6.29","13.59","0.36","1.99","6.3","0.38","1.9","1.17","1.32","0.62","0.63","0","0.28999999999999998","1","1.95","0"
"02162023-1-2-BS","BS","No","44970","3.86","4.59","0.84095860566448799","17.100000000000001","8.9999999999999993E-3","5.3","5.27","6.4","25.75","1.6733639510117146","6.26","5.41","125","220","34.86","25.32","33.61","0.51596561252686524","0.5250790781744239","1.69","4.8479632816982213E-2","8.5699999999999995E-3","9.7551342812006323E-2","0.15758293838862561","2.5999999999999999E-3","0.871","0.79800000000000004","0.33300000000000002","6.4037558685446019","3.8470000000000004","12.56","11.3","9.42","6.16","13.6","0.75","1.76","6.25","0.17","1.5","0.83","1.35","0.26","0.61","0.06","0.24","0.4","2","0"
"02162023-1-2-DVI","DVI","Yes","44970","3.86","4.59","0.84095860566448799","17.100000000000001","3.1300000000000002E-4","5.25","5.23","6.43","25.013333333333332","1.6747084237601477","6.2","5.42","125","205","35.39","25.67","33.22","0.51416189444358462","0.5299490865528601","1.75","4.9448996891777335E-2","8.2699999999999996E-3","9.9337748344370841E-2","0.14374756525126606","2.3E-3","0.95","1.03","0.38200000000000001","6.5776892430278897","4.54","13.29","12.36","9.6300000000000008","6.1","13.48","0.19","1.98","6.47","0.55000000000000004","1.97","1.68","1.5","0.67","0.56000000000000005","0.06","0.5","1.73","2.52","0"
"03012023-1-3-BS","BS","No","44985","3.36","4.08","0.82352941176470584","14.7","7.4999999999999997E-3","5.21","5.1100000000000003","6.56","28.073333333333334","1.6708983937480906","6.3","5.43","135","220","36.119999999999997","24.79","34.94","0.54696305572949278","0.55517983399938509","1.64","4.5404208194905871E-2","7.5399999999999998E-3","0.10810810810810811","0.15490116982654295","4.8999999999999998E-3","0.57799999999999996","0.82299999999999995","0.26200000000000001","7.7911392405063298","3.3249999999999997","11.65","10.86","10.119999999999999","5.96","11.31","1.74","1.61","5.09","0.01","1.2","0.44","1.8","1.0900000000000001","1.4","0.15","0.11","0.43","1.47","0"
"03012023-1-3-DVI","DVI","Yes","44985","3.36","4.08","0.82352941176470584","14.7","2.6600000000000001E-4","5.07","5.0999999999999996","6.53","25.400000000000002","1.6711066231999947","6.25","5.48","135","220","35.86","24.88","33.340000000000003","0.5198004365450577","0.53795379537953802","1.72","4.796430563301729E-2","7.6499999999999997E-3","0.11093247588424437","0.147508038585209","5.8999999999999999E-3","0.84899999999999998","0.95","0.31","4.9157894736842112","4.0840000000000005","11.49","11.9","10.66","6.23","10.96","1.69","1.23","4.67","0","1.21","0.3","1.77","1.42","1.32","0.87","0.14000000000000001","0.51","2.06","0.22"
"03022023-0-3-BS","BS","No","44985","3.36","4.08","0.82352941176470584","14.7","7.4999999999999997E-3","5.3","5.18","6.6","28.060000000000002","1.6702320909070194","6.32","5.48","145","225","35.74","24.98","33.549999999999997","0.52209772798008092","0.53784800601956362","1.72","4.8125349748181306E-2","7.4400000000000004E-3","0.10328262610088071","0.13250600480384309","8.2000000000000007E-3","0.87","0.81299999999999994","0.30299999999999999","4.8645418326693219","3.7940000000000005","10.55","11.49","10.24","5.86","10.06","1.33","1.1000000000000001","4.79","0","1.3","0.36","2.19","0.77","1.25","0.65","0.1","0.2","1.59","0.31"
"03022023-0-3-DVI","DVI","No","44985","3.36","4.08","0.82352941176470584","14.7","2.6600000000000001E-4","5.07","5.12","6.64","37.300000000000004","1.7732968436416712","6.26","5.43","135","225","36.72","25.48","32.5","0.51359039190897593","0.54399999999999993","1.77","4.820261437908497E-2","7.2899999999999996E-3","0.10282574568288855","0.14010989010989011","8.5000000000000006E-3","0.66400000000000003","0.88900000000000001","0.27300000000000002","8.8911564625850339","3.5789999999999997","11.27","11.69","10.9","6.02","12.33","1.31","1.26","5.07","0","1.0900000000000001","0.41","2.11","0.8","1.29","0.76","0.28999999999999998","0.41","1.66","0.01"
"03152023-0-4-BS","BS","No","44999","3.87","4.7","0.82340425531914896","16.7","9.1599999999999997E-3","5.14","5.31","6.52","16.733333333333334","1.6660758829271962","6.21","5.42","145","210","35.25","25.54","32.4","0.50038610038610032","0.52144970414201186","1.91","5.4184397163120568E-2","7.4000000000000003E-3","8.848864526233359E-2","0.15661707126076743","4.0000000000000001E-3","0.755","0.74199999999999999","0.25","8.2666666666666675","3.2870000000000004","11.52","13.01","10.15","6.25","13.1","1.1399999999999999","2.93","5.9","0.05","1.1200000000000001","0.65","1.61","1.2","0.75","0","0","0.25","1.61","0.14000000000000001"
"03152023-0-4-DVI","DVI","No","44999","3.87","4.7","0.82340425531914896","16.7","4.08E-4","5.15","5.34","6.65","22.733333333333334","1.6718124027850789","6.12","5.35","135","208","35.619999999999997","25.65","33.18","0.51537744641192917","0.53307392996108949","1.93","5.4183043234138126E-2","7.1500000000000001E-3","9.0838206627680315E-2","0.15438596491228071","3.7000000000000002E-3","1.25","1.18","0.377","3.9957173447537473","5.7906999999999993","11.87","12.67","9.6300000000000008","5.77","12.81","0.46","2.2000000000000002","6.13","0.24","1.35","0.86","1.35","1.08","0.9","0","0.38","0.6","1.4","0.3"
"03162023-1-4-BS","BS","No","44999","3.87","4.7","0.82340425531914896","16.7","9.1599999999999997E-3","5.12","5.25","6.66","18.466666666666665","1.6501458798101873","6.18","5.38","137","220","36.22","25.63","33.35","0.52289118846033245","0.54343585896474111","1.89","5.2181115405853122E-2","7.3600000000000002E-3","8.2325399921966441E-2","0.14124073351541164","6.1000000000000004E-3","0.66600000000000004","0.629","0.22500000000000001","9.5148514851485135","2.8010000000000002","10.29","12.77","9.67","5.46","12.69","0.96","2.56","6.23","0.14000000000000001","1.2","0.79","1.5","1.68","0.86","0.27","0.31","0.3","1.29","0"
"03162023-1-4-DVI","DVI","Yes","44999","3.87","4.7","0.82340425531914896","16.7","3.2000000000000003E-4","5.0199999999999996","5.21","6.62","18.599999999999998","1.6664729459874472","6.08","5.39","137","220","35.33","25.35","34.18","0.52852945724447187","0.53676694013977522","1.68","4.755165581658647E-2","7.0099999999999997E-3","9.2307692307692299E-2","0.15502958579881657","5.7999999999999996E-3","1.08","1.04","0.33300000000000002","5.3828382838283817","4.7689999999999992","11.96","13.01","9.82","5.94","12.95","1.08","2.5499999999999998","6.26","0.16","1.37","0.62","1.52","1.49","0.66","0","0.06","0.4","1.69","0.15"
