"response","Grouping","pval_raw","pval_adj","sig"
"%NCN/TN.p.value2","Biochemical Data","0.719764932360274",0.912784188190706,"No"
"%NCN/TN.p.value3","Biochemical Data","0.25005081421085",0.85017276831689,"No"
"%NPN/TN.p.value2","Biochemical Data","0.624122284881498",0.912784188190706,"No"
"%NPN/TN.p.value3","Biochemical Data","0.457982587540676",0.874674097220476,"No"
"Acid.p.value2","Biochemical Data","0.368507648778751",0.874674097220476,"No"
"Acid.p.value3","Biochemical Data","0.824880776051295",0.912784188190706,"No"
"Adhesiveness.p.value2","Biochemical Data","0.182414264307218",0.715625190743701,"No"
"Adhesiveness.p.value3","Biochemical Data","0.774698437385647",0.912784188190706,"No"
"Aliphatic/acidc ratio.p.value2","Biochemical Data","0.300979091890697",0.874674097220476,"No"
"Aliphatic/acidc ratio.p.value3","Biochemical Data","0.452642894970793",0.874674097220476,"No"
"Astringent.p.value2","Sensory Data","0.496205854053144",0.689707814587884,"No"
"Astringent.p.value3","Sensory Data","0.184867803952064",0.560842756275534,"No"
"Bitter.p.value2","Biochemical Data","0.0678684717496229",0.497938883617252,"No"
"Bitter.p.value3","Biochemical Data","0.493380315748379",0.874674097220476,"No"
"Brothy.p.value2","Biochemical Data","0.844490359619236",0.912784188190706,"No"
"Brothy.p.value3","Sensory Data","0.40048416975848",0.689707814587884,"No"
"Butter.p.value2","Biochemical Data","0.445805034942035",0.874674097220476,"No"
"Butter.p.value3","Biochemical Data","0.596295142674955",0.912784188190706,"No"
"Ca.p.value2","Biochemical Data","0.913533707288699",0.931804381434473,"No"
"Ca.p.value3","Biochemical Data","0.413249020423901",0.874674097220476,"No"
"Chewiness.p.value2","Biochemical Data","0.323966217849146",0.874674097220476,"No"
"Chewiness.p.value3","Biochemical Data","0.536287778050968",0.88227989292256,"No"
"Coagulation pH.p.value2","Process Data","0.36259231489885",0.815832708522413,"No"
"Coagulation pH.p.value3","Process Data","0.822967108712571",0.969900764815776,"No"
"Coagulation time (minutes).p.value2","Process Data","0.00624899693107229",0.112481944759301,"No"
"Coagulation time (minutes).p.value3","Process Data","0.50286382375573",0.905154882760314,"No"
"Cohesiveness of Mass.p.value2","Biochemical Data","0.79155460486712",0.912784188190706,"No"
"Cohesiveness of Mass.p.value3","Biochemical Data","0.240470304336062",0.85017276831689,"No"
"Fat%.p.value2","Process Data","0.464704552621283",0.905154882760314,"No"
"Fat%.p.value3","Process Data","0.88762658935288",0.969900764815776,"No"
"FDB.p.value2","Biochemical Data","0.48103277675802",0.874674097220476,"No"
"FDB.p.value3","Biochemical Data","0.961295947663007",0.961295947663007,"No"
"Fruity.p.value2","Sensory Data","0.186947585425178",0.560842756275534,"No"
"Fruity.p.value3","Sensory Data","0.946103989170028",0.975070173912554,"No"
"Glutamic Acid.p.value2","Biochemical Data","0.131324635932981",0.669755643258203,"No"
"Glutamic Acid.p.value3","Biochemical Data","0.0536840475079134",0.497938883617252,"No"
"Hand Firmness.p.value2","Biochemical Data","0.664830385425507",0.912784188190706,"No"
"Hand Firmness.p.value3","Biochemical Data","0.834155822151252",0.912784188190706,"No"
"Initial Cheese pH.p.value2","Biochemical Data","0.301081946886238",0.874674097220476,"No"
"Initial Cheese pH.p.value3","Biochemical Data","0.0781080601752552",0.497938883617252,"No"
"Inoc_Mill Time.p.value2","Process Data","0.969900764815776",0.969900764815776,"No"
"Inoc_Mill Time.p.value3","Process Data","0.315438957585796",0.815832708522413,"No"
"Inoc_PO Time.p.value2","Process Data","0.21563838902272",0.815832708522413,"No"
"Inoc_PO Time.p.value3","Process Data","0.229772619229612",0.815832708522413,"No"
"Leucine.p.value2","Biochemical Data","0.0508718620872305",0.497938883617252,"No"
"Leucine.p.value3","Biochemical Data","0.0150396161192069",0.497938883617252,"No"
"Lysine.p.value2","Biochemical Data","0.0747145539115263",0.497938883617252,"No"
"Lysine.p.value3","Biochemical Data","0.0929806707184639",0.526890467404629,"No"
"MFFS.p.value2","Biochemical Data","0.684411188232504",0.912784188190706,"No"
"MFFS.p.value3","Biochemical Data","0.830693930307324",0.912784188190706,"No"
"Mill pH.p.value2","Process Data","0.883534159371289",0.969900764815776,"No"
"Mill pH.p.value3","Process Data","0.789444929566567",0.969900764815776,"No"
"Moisture%.p.value2","Process Data","0.966964395586826",0.969900764815776,"No"
"Moisture%.p.value3","Process Data","0.77567933145726",0.969900764815776,"No"
"Others.p.value2","Sensory Data","0.607613524626779",0.759516905783474,"No"
"Others.p.value3","Sensory Data","0.927432218081164",0.975070173912554,"No"
"Particle Size.p.value2","Biochemical Data","0.397965948614944",0.874674097220476,"No"
"Particle Size.p.value3","Biochemical Data","0.859091000650076",0.912784188190706,"No"
"Protein%.p.value2","Process Data","0.105475611144443",0.632853666866658,"No"
"Protein%.p.value3","Process Data","0.346786185853239",0.815832708522413,"No"
"Rancid.p.value2","Sensory Data","0.975070173912554",0.975070173912554,"No"
"Rancid.p.value3","Sensory Data","0.505785730697782",0.689707814587884,"No"
"S/M.p.value2","Biochemical Data","0.795429968799392",0.912784188190706,"No"
"S/M.p.value3","Biochemical Data","0.497009896490452",0.874674097220476,"No"
"Salt%.p.value2","Biochemical Data","0.896964861126715",0.931804381434473,"No"
"Salt%.p.value3","Biochemical Data","0.470215410223214",0.874674097220476,"No"
"Salt.p.value2","Biochemical Data","0.514514174835574",0.874674097220476,"No"
"Salt.p.value3","Biochemical Data","0.514514174835365",0.874674097220476,"No"
"Savory.p.value2","Biochemical Data","0.61666354837947",0.912784188190706,"No"
"Savory.p.value3","Biochemical Data","0.83454571878126",0.912784188190706,"No"
"Sour.p.value2","Sensory Data","0.268034635656494",0.618427483005073,"No"
"Sour.p.value3","Sensory Data","0.143083684900865",0.560842756275534,"No"
"Sulfur.p.value2","Sensory Data","0.288599492069034",0.618427483005073,"No"
"Sulfur.p.value3","Sensory Data","0.166929463189828",0.560842756275534,"No"
"Sweet.p.value2","Biochemical Data","0.147428832264406",0.683533676862246,"No"
"Sweet.p.value3","Biochemical Data","0.180827545926032",0.715625190743701,"No"
"Total FAA (mg/g).p.value2","Biochemical Data","0.0516218188267298",0.497938883617252,"No"
"Total FAA (mg/g).p.value3","Biochemical Data","0.0473428311457777",0.497938883617252,"No"
"Total FFA%.p.value2","Biochemical Data","0.853242008409065",0.912784188190706,"No"
"Total FFA%.p.value3","Biochemical Data","0.778953420444729",0.912784188190706,"No"
"Whey removal pH.p.value2","Process Data","0.909510556720876",0.969900764815776,"No"
"Whey removal pH.p.value3","Process Data","0.0271107870746746",0.243997083672071,"No"
"Whey Taint.p.value2","Sensory Data","0.460229456230356",0.689707814587884,"No"
"Whey Taint.p.value3","Sensory Data","0.138175530497236",0.560842756275534,"No"
